rating,easy,medium,hard,acceptance,weekly
2633.0,46.0,71.0,42.0,30.0,0.0
2633.0,63.0,184.0,170.0,50.0,23.0
2632.0,140.0,133.0,219.0,60.0,2.0
2631.0,72.0,65.0,101.0,60.0,0.0
2631.0,20.0,9.0,17.0,50.0,0.0
2630.0,117.0,145.0,162.0,95.0,0.0
2630.0,13.0,28.0,242.0,20.0,0.0
2630.0,239.0,145.0,109.0,45.0,15.0
2629.0,24.0,43.0,69.0,30.0,0.0
2628.0,45.0,48.0,220.0,50.0,1.0
2628.0,40.0,39.0,38.0,65.0,0.0
2628.0,241.0,169.0,109.0,45.0,5.0
2628.0,100.0,104.0,100.0,55.0,0.0
2627.0,126.0,107.0,75.0,15.0,0.0
2626.0,60.0,90.0,65.0,50.0,0.0
2626.0,82.0,104.0,86.0,40.0,0.0
2625.0,25.0,30.0,29.0,60.0,0.0
2624.0,65.0,84.0,165.0,70.0,0.0
2623.0,344.0,158.0,161.0,80.0,20.0
2622.0,56.0,61.0,109.0,65.0,19.0
2622.0,74.0,61.0,176.0,40.0,0.0
2622.0,233.0,153.0,149.0,50.0,12.0
2621.0,150.0,82.0,79.0,80.0,0.0
2621.0,49.0,116.0,97.0,50.0,0.0
2621.0,271.0,186.0,132.0,85.0,0.0
2620.0,26.0,21.0,18.0,60.0,0.0
2620.0,79.0,77.0,100.0,35.0,6.0
2620.0,146.0,140.0,121.0,60.0,0.0
2619.0,70.0,95.0,88.0,10.0,0.0
2618.0,303.0,182.0,168.0,60.0,0.0
2618.0,82.0,88.0,55.0,55.0,0.0
2618.0,156.0,150.0,129.0,50.0,0.0
2618.0,75.0,72.0,67.0,15.0,0.0
2617.0,32.0,51.0,26.0,10.0,0.0
2617.0,21.0,35.0,212.0,35.0,3.0
2617.0,216.0,169.0,123.0,10.0,0.0
2617.0,157.0,125.0,135.0,70.0,0.0
2617.0,54.0,68.0,102.0,25.0,1.0
2616.0,92.0,66.0,76.0,55.0,0.0
2616.0,50.0,75.0,199.0,55.0,0.0
2614.0,31.0,22.0,14.0,65.0,0.0
2614.0,99.0,75.0,72.0,60.0,0.0
2614.0,125.0,132.0,162.0,50.0,0.0
2613.0,51.0,47.0,71.0,55.0,14.0
2613.0,226.0,143.0,74.0,0.0,1.0
2612.0,79.0,82.0,149.0,20.0,1.0
2612.0,79.0,90.0,168.0,75.0,28.0
2611.0,38.0,44.0,54.0,20.0,0.0
2611.0,110.0,189.0,113.0,80.0,0.0
2611.0,135.0,113.0,131.0,45.0,3.0
2611.0,28.0,27.0,199.0,60.0,3.0
2610.0,26.0,41.0,281.0,75.0,0.0
2610.0,57.0,59.0,235.0,55.0,0.0
2609.0,199.0,171.0,113.0,70.0,0.0
2609.0,186.0,143.0,134.0,55.0,0.0
2608.0,117.0,98.0,89.0,55.0,0.0
2607.0,24.0,42.0,203.0,45.0,0.0
2607.0,186.0,113.0,63.0,40.0,0.0
2606.0,34.0,67.0,178.0,70.0,0.0
2605.0,130.0,92.0,110.0,90.0,6.0
2604.0,112.0,137.0,249.0,85.0,0.0
2603.0,40.0,83.0,108.0,10.0,0.0
2603.0,15.0,13.0,253.0,35.0,9.0
2603.0,31.0,33.0,23.0,35.0,0.0
2602.0,242.0,177.0,136.0,75.0,0.0
2602.0,90.0,106.0,64.0,40.0,0.0
2601.0,169.0,166.0,125.0,80.0,2.0
2601.0,55.0,47.0,168.0,70.0,0.0
2600.0,113.0,158.0,192.0,80.0,0.0
2599.0,262.0,237.0,150.0,100.0,1.0
2599.0,69.0,158.0,123.0,40.0,0.0
2599.0,54.0,42.0,44.0,60.0,0.0
2598.0,3.0,6.0,9.0,5.0,0.0
2598.0,39.0,31.0,32.0,5.0,0.0
2598.0,122.0,166.0,133.0,50.0,0.0
2597.0,65.0,56.0,164.0,70.0,0.0
2597.0,159.0,122.0,131.0,65.0,0.0
2596.0,321.0,213.0,131.0,70.0,0.0
2594.0,81.0,89.0,104.0,35.0,0.0
2593.0,104.0,111.0,74.0,30.0,0.0
2593.0,88.0,82.0,165.0,75.0,3.0
2592.0,144.0,181.0,90.0,30.0,0.0
2592.0,47.0,36.0,30.0,60.0,0.0
2592.0,70.0,90.0,37.0,45.0,0.0
2592.0,87.0,128.0,203.0,55.0,0.0
2592.0,63.0,41.0,46.0,40.0,0.0
2590.0,213.0,175.0,140.0,75.0,6.0
2588.0,161.0,107.0,38.0,45.0,0.0
2588.0,129.0,111.0,215.0,75.0,22.0
2588.0,314.0,212.0,154.0,65.0,10.0
2588.0,55.0,53.0,23.0,40.0,0.0
2588.0,157.0,122.0,116.0,35.0,23.0
2586.0,154.0,153.0,101.0,25.0,0.0
2586.0,67.0,80.0,173.0,75.0,1.0
2585.0,53.0,55.0,192.0,15.0,0.0
2585.0,144.0,90.0,137.0,50.0,0.0
2585.0,176.0,148.0,88.0,40.0,0.0
2584.0,91.0,79.0,129.0,10.0,16.0
2584.0,85.0,73.0,76.0,60.0,13.0
2584.0,85.0,63.0,152.0,45.0,5.0
2584.0,61.0,50.0,73.0,30.0,0.0
2584.0,156.0,135.0,221.0,65.0,0.0
2584.0,110.0,99.0,235.0,55.0,4.0
2583.0,50.0,46.0,251.0,50.0,0.0
2583.0,278.0,178.0,179.0,60.0,0.0
2581.0,23.0,31.0,41.0,15.0,10.0
2581.0,76.0,87.0,38.0,80.0,0.0
2580.0,59.0,62.0,167.0,45.0,8.0
2580.0,65.0,129.0,321.0,70.0,0.0
2579.0,214.0,215.0,286.0,95.0,10.0
2579.0,82.0,58.0,100.0,55.0,0.0
2579.0,86.0,69.0,41.0,45.0,0.0
2578.0,118.0,102.0,116.0,65.0,18.0
2578.0,61.0,30.0,88.0,70.0,8.0
2578.0,130.0,84.0,65.0,35.0,4.0
2578.0,94.0,116.0,95.0,55.0,0.0
2578.0,74.0,51.0,212.0,25.0,17.0
2577.0,200.0,143.0,143.0,50.0,8.0
2576.0,82.0,74.0,46.0,60.0,0.0
2576.0,259.0,176.0,137.0,75.0,8.0
2574.0,112.0,123.0,94.0,85.0,0.0
2574.0,251.0,159.0,87.0,65.0,8.0
2573.0,96.0,67.0,76.0,75.0,0.0
2573.0,110.0,61.0,35.0,40.0,0.0
2572.0,108.0,111.0,157.0,35.0,0.0
2571.0,32.0,28.0,21.0,40.0,0.0
2571.0,152.0,150.0,121.0,55.0,20.0
2571.0,156.0,122.0,75.0,40.0,0.0
2570.0,123.0,130.0,218.0,35.0,4.0
2570.0,16.0,24.0,31.0,50.0,0.0
2570.0,37.0,30.0,21.0,90.0,0.0
2570.0,237.0,152.0,93.0,90.0,16.0
2570.0,75.0,83.0,210.0,50.0,0.0
2569.0,113.0,105.0,45.0,75.0,0.0
2569.0,145.0,108.0,153.0,65.0,15.0
2569.0,71.0,76.0,121.0,30.0,0.0
2568.0,71.0,69.0,229.0,40.0,0.0
2567.0,102.0,92.0,73.0,75.0,0.0
2567.0,60.0,83.0,55.0,70.0,0.0
2567.0,572.0,165.0,53.0,65.0,0.0
2566.0,35.0,29.0,51.0,30.0,0.0
2566.0,11.0,10.0,59.0,30.0,0.0
2566.0,137.0,106.0,82.0,65.0,0.0
2566.0,33.0,40.0,235.0,55.0,0.0
2565.0,157.0,112.0,153.0,60.0,0.0
2564.0,30.0,24.0,22.0,30.0,0.0
2564.0,137.0,88.0,59.0,90.0,0.0
2564.0,85.0,77.0,78.0,60.0,0.0
