ranking,easy,medium,hard,acceptance,weekly
1972597.0,33.0,12.0,0.0,65.0,0.0
107931.0,154.0,293.0,107.0,90.0,0.0
109806.0,189.0,322.0,38.0,85.0,12.0
1785.0,406.0,928.0,488.0,70.0,8.0
286950.0,78.0,196.0,58.0,55.0,0.0
526614.0,51.0,131.0,32.0,85.0,0.0
8733.0,337.0,673.0,221.0,90.0,11.0
3741206.0,4.0,5.0,4.0,45.0,0.0
1386.0,411.0,1046.0,489.0,100.0,14.0
100009.0,164.0,282.0,126.0,55.0,0.0
32286.0,233.0,500.0,125.0,90.0,18.0
136.0,715.0,1607.0,584.0,70.0,3.0
12371.0,282.0,572.0,272.0,25.0,8.0
695.0,509.0,1199.0,586.0,85.0,7.0
176971.0,109.0,230.0,103.0,65.0,18.0
556092.0,101.0,89.0,15.0,60.0,0.0
19547.0,318.0,551.0,126.0,60.0,5.0
39348.0,161.0,410.0,234.0,60.0,0.0
366369.0,81.0,146.0,55.0,70.0,0.0
1371.0,576.0,1032.0,345.0,50.0,8.0
1173788.0,56.0,37.0,2.0,65.0,0.0
3029805.0,16.0,5.0,0.0,25.0,0.0
469787.0,62.0,113.0,60.0,70.0,0.0
3772.0,415.0,846.0,262.0,80.0,8.0
3566908.0,4.0,9.0,2.0,60.0,0.0
249.0,703.0,1383.0,633.0,70.0,12.0
2517.0,476.0,903.0,304.0,80.0,6.0
1413.0,606.0,1055.0,276.0,60.0,7.0
3983676.0,8.0,3.0,0.0,75.0,0.0
1606.0,564.0,994.0,318.0,85.0,8.0
884.0,548.0,1143.0,476.0,75.0,16.0
1700009.0,18.0,26.0,13.0,50.0,5.0
973.0,545.0,1274.0,301.0,100.0,12.0
15374.0,215.0,538.0,310.0,75.0,2.0
3592.0,230.0,920.0,392.0,60.0,0.0
729.0,544.0,1210.0,516.0,70.0,9.0
1137014.0,25.0,48.0,27.0,85.0,0.0
520.0,587.0,1273.0,571.0,60.0,0.0
2013.0,526.0,985.0,256.0,80.0,25.0
1979456.0,13.0,24.0,8.0,40.0,0.0
