rating,easy,medium,hard,acceptance,weekly,score
2507,153,188,108,45,0,3360
2506,144,100,101,75,0,3153
2506,66,74,205,60,0,3335
2506,42,79,77,70,0,2937
2505,29,41,67,65,0,2817
2505,73,57,9,30,0,2719
2505,101,81,45,70,0,2903
2505,176,168,50,75,0,3167
2504,91,70,196,55,0,3323
2503,155,142,110,50,0,3272
2503,51,32,140,60,0,3038
2502,183,152,115,45,0,3334
2502,46,114,87,45,0,3037
2501,188,116,63,65,0,3110
2501,204,187,163,55,0,3568
2500,156,126,130,75,0,3298
2500,84,63,56,25,0,2878
2500,96,104,149,35,2,3251
2499,82,107,238,55,2,3509
2499,164,142,163,75,0,3436
2499,100,93,105,65,1,3100
2499,105,74,71,40,5,2965
2499,275,134,60,50,3,3222
2499,85,125,210,60,5,3464
2498,144,89,42,25,10,2946
2498,71,84,178,55,3,3271
2497,64,65,31,60,0,2784
2497,168,124,141,55,0,3336
2496,29,68,60,40,0,2841
2496,64,79,274,45,0,3540
2495,137,125,172,40,1,3398
2494,60,54,28,30,0,2746
2494,154,188,160,40,0,3504
2493,106,136,158,45,0,3345
2493,15,9,7,25,0,2547
2493,93,94,93,85,0,3053
2493,583,369,43,100,21,3943
2492,64,92,79,50,3,2977
2492,22,17,14,15,0,2590
2492,32,32,37,55,0,2699
2491,196,156,117,55,0,3350
2490,151,100,111,55,8,3174
2489,104,124,159,70,0,3318
2489,169,155,138,70,0,3382
2489,34,23,13,50,0,2608
2489,64,74,203,35,0,3310
2488,259,168,113,55,0,3422
2488,40,24,12,25,0,2612
2488,46,43,48,25,0,2764
2487,150,112,68,80,11,3065
2487,69,53,77,30,0,2893
2487,51,37,37,65,1,2723
2487,90,71,77,35,0,2950
2487,292,191,51,65,0,3314
2486,22,17,11,25,25,2575
2486,19,17,24,35,0,2611
2485,99,176,160,55,0,3416
2485,73,64,84,65,0,2938
2485,50,54,52,45,0,2799
2484,122,107,79,60,0,3057
2484,107,92,48,70,5,2919
2484,27,36,41,30,0,2706
2483,122,104,124,70,0,3185
2483,49,53,62,20,0,2824
2482,95,131,130,55,7,3229
2482,121,204,177,50,0,3542
2482,181,147,147,65,11,3398
2481,71,84,60,65,0,2900
2481,55,94,122,45,0,3090
2481,101,77,66,25,0,2934
2481,220,240,144,80,0,3613
2480,200,217,6,75,21,3132
2480,43,68,45,50,0,2794
2480,83,83,291,50,5,3602
2479,77,105,33,45,0,2865
2479,68,98,113,55,3,3082
2478,15,19,20,40,0,2591
2478,56,44,27,35,0,2703
2478,107,126,101,45,0,3140
2477,100,87,114,60,7,3093
2477,16,23,46,80,0,2677
2477,51,82,68,20,0,2896
2477,62,57,18,55,0,2707
2477,59,56,43,50,0,2777
2476,71,84,145,50,0,3150
2476,37,66,28,25,0,2729
2475,85,151,123,75,13,3231
2475,11,13,10,30,4,2542
2475,98,173,140,60,0,3339
2475,58,41,37,50,2,2726
2474,179,181,101,50,4,3318
2474,135,113,59,70,18,3012
2474,52,78,126,20,0,3060
2474,63,93,130,60,0,3113
2474,94,121,144,0,0,3242
2473,161,436,81,80,15,3749
2473,86,72,47,10,7,2844
2472,51,74,42,40,0,2797
2472,80,77,60,65,0,2886
2472,50,65,42,35,0,2778
2471,67,69,213,15,0,3315
2471,238,141,146,80,0,3429
2471,23,38,24,35,0,2642
2471,95,82,93,30,10,3009
2471,41,24,64,60,0,2752
2470,51,69,232,50,0,3355
2470,171,114,120,55,0,3229
2470,35,59,89,65,0,2890
2469,39,42,336,60,6,3600
2469,180,175,127,70,0,3380
2469,269,174,105,90,2,3401
2469,67,104,204,65,0,3356
2469,19,12,9,80,0,2539
2469,183,120,62,55,0,3078
2469,120,117,125,75,13,3198
2469,16,14,13,20,0,2552
2469,54,25,7,35,0,2594
2468,104,67,7,90,0,2727
2468,172,105,40,50,2,2970
2467,42,36,183,5,0,3130
2467,85,80,190,60,0,3282
2466,78,65,29,35,0,2761
2466,34,65,38,65,0,2744
2466,51,72,39,50,0,2778
2464,74,55,29,40,0,2735
2464,58,85,59,85,0,2869
2464,158,122,136,45,22,3274
2464,212,197,105,70,0,3385
2464,149,114,93,45,4,3120
2464,84,81,71,55,2,2923
2464,73,78,189,20,4,3260
2464,121,144,167,70,0,3374
2463,28,52,146,45,3,3033
2463,61,47,63,75,0,2807
2463,112,114,194,50,1,3385
2462,30,34,170,75,0,3070
2462,61,70,48,40,0,2807
2461,66,64,55,70,1,2820
2461,114,83,57,50,0,2912
2461,93,87,64,55,0,2920
2461,107,109,109,45,0,3113
2460,75,51,17,60,0,2688
2460,17,18,25,50,0,2588
2460,58,53,78,55,0,2858
2459,31,69,91,40,0,2901
2459,293,188,101,55,3,3431
2459,77,65,65,15,0,2861
2458,34,45,198,50,0,3176
2458,27,18,14,70,0,2563
2457,16,11,6,30,0,2513
2457,105,81,97,80,0,3015
2456,81,60,36,80,0,2765
2456,65,56,21,100,0,2696
2456,42,42,61,45,11,2765
2455,182,158,181,60,0,3496
2455,115,155,131,50,0,3273
2454,198,177,97,15,1,3297
2454,41,28,34,70,0,2653
2454,268,123,62,35,0,3154
2454,124,155,82,65,0,3134
2453,185,135,144,45,1,3340
2453,193,156,223,45,3,3627
2453,139,122,103,70,0,3145
2453,15,14,14,65,0,2538
2453,79,49,86,60,0,2888
2453,24,35,108,40,0,2871
2452,42,51,248,30,0,3340
2452,116,83,24,45,4,2806
2452,73,64,56,65,0,2821
2451,32,44,27,25,0,2652
2451,94,81,142,80,0,3133
2451,97,134,127,65,0,3197
2451,58,65,85,75,0,2894
2451,81,74,76,70,0,2908
2451,74,50,44,55,0,2757
2450,163,104,85,30,0,3076
2450,116,114,159,45,0,3271
2450,127,103,114,70,9,3125
2449,90,103,129,55,0,3132
2449,64,84,276,65,0,3509
2449,109,158,164,65,0,3366
2449,60,104,160,40,2,3197
2448,37,27,104,50,0,2851
2448,150,127,110,40,9,3182
2448,291,151,51,60,0,3194
2448,99,213,107,80,0,3294
2448,218,155,162,60,0,3462
2447,70,54,108,70,5,2949
2447,60,69,68,30,0,2849
2447,6,9,213,20,8,3110
2447,130,113,119,45,0,3160
2446,153,186,96,55,0,3259
2446,49,84,197,50,7,3254
2446,34,46,51,0,0,2725
2446,72,118,94,35,0,3036
2445,80,110,82,45,0,2991
2445,74,60,64,55,5,2831
2445,45,31,35,35,0,2657
2445,147,125,41,50,0,2965
2445,129,163,215,40,2,3545
2445,68,61,251,75,0,3388
2445,196,143,174,45,16,3449
2444,118,125,61,75,0,2995
2444,14,37,21,35,0,2595
2444,67,66,111,50,0,2976
2444,84,75,97,45,0,2969
2444,78,43,24,60,0,2680
2443,245,142,53,45,0,3131
2443,237,186,179,30,10,3589
2443,152,98,222,35,0,3457
2443,147,115,57,45,0,2991
2443,18,15,14,25,0,2533
2443,60,49,270,65,11,3411
2442,52,76,116,50,0,2994
2441,29,117,162,65,0,3190
